link,superficie_util,superficie_total,dormitorios,banos
https://portalinmobiliario.com/MLC-1681800627-oportunidad-dpto-2dorm-1-bano-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,33 m²,33 m²,2,1
https://portalinmobiliario.com/MLC-3184106736-maravilloso-dpto-3d-3b-estac-bod-pontevedracolon-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,84 m²,98 m²,3,3
https://portalinmobiliario.com/MLC-1675502727-departamento-en-venta-de-2-dorm-en-lo-barnechea-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,100 m²,175 m²,2,2
https://portalinmobiliario.com/MLC-1674757131-elegante-y-moderno-departamento-en-el-corazon-de-el-golf-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=34&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,140 m²,155 m²,3,3
https://portalinmobiliario.com/MLC-1686942881-baja-el-precio-a-uf9650-3-dorm-prov-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=35&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,180 m²,180 m²,3,2
https://portalinmobiliario.com/MLC-1597267905-departamento-triplex-en-venta-estoril-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=36&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,201 m²,239 m²,4,3
https://portalinmobiliario.com/MLC-1676586955-departamento-en-sector-alonso-de-cordova-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=37&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,121 m²,141 m²,3,4
https://portalinmobiliario.com/MLC-1672753303-luminoso-departamento-en-condominio-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=38&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,171 m²,206 m²,3,4
https://portalinmobiliario.com/MLC-1691135935-nunoa-140-m2-3-d-3-b-2-box-remodelado-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=39&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,120 m²,140 m²,3,3
https://portalinmobiliario.com/MLC-1679209659-departamento-en-venta-de-2-dorm-en-suite-vitacura-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=40&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,189 m²,237 m²,2,3
https://portalinmobiliario.com/MLC-3060971796-moderno-y-luminoso-depto-de-2-dorm-2-banos-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=41&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,70 m²,90 m²,2,2
https://portalinmobiliario.com/MLC-3042381844-oportunidad-2d-2b-1-est-1b-metro-manquehue-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=42&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,65 m²,69 m²,2,2
https://portalinmobiliario.com/MLC-1683477929-departamento-en-venta-de-3-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=43&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,122 m²,129 m²,3,2
https://portalinmobiliario.com/MLC-1688463997-departamento-en-venta-metro-los-leones-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=44&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,53 m²,53 m²,1,1
https://portalinmobiliario.com/MLC-3130623900-amplio-depto-en-venta-colonvespucio-2d-43-servicio-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=45&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,85 m²,91 m²,3,3
https://portalinmobiliario.com/MLC-1623589685-departamento-en-venta-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,35 m²,35 m²,1,1
https://portalinmobiliario.com/MLC-1698109095-departamento-en-venta-de-5-dorm-en-providencia-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=47&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,231 m²,387 m²,5,4
